	ID	Date	Order	MandarinList1	MandarinList2	EnglishList1	EnglishList2	YoB	Gender Identity	Assigned sex	ResidenceAge1	Location_man	Location_eng	Location1	ResidenceAge2	Location2	ResidenceAge3	Location3	ResidenceAge4	Location4	ResidenceAge5	Location5	ResidenceAge6	Location6	ResidenceAge7	Location7	ResidenceAge8	Location8	ResidenceAge9	Location9	ResidenceAge10	Location10	ResidenceAge11	Location11	ResidenceAge12	Location12	Language1	LanguageAge1	Reading1	Writing1	Speaking1	Understanding1	Language2	LanguageAge2	Reading2	Writing2	Speaking2	Understanding2	Language3	LanguageAge3	Reading3	Writing3	Speaking3	Understanding3	Language4	LanguageAge4	Reading4	Writing4	Speaking4	Understanding4	Language5	LanguageAge5	Reading5	Writing5	Speaking5	Understanding5	Languag6	LanguageAge6	Reading6	Writing6	Speaking6	Understanding6	Language7	LanguageAge7	Reading7	Writing7	Speaking7	Understanding7	Language8	LanguageAge8	Reading8	Writing8	Speaking8	Understanding8	Language9	LanguageAge9	Reading9	Writing9	Speaking9	Understanding9
1	F89A	2024/2/27	"M, E"	1	2	1	2	1989	F	F	0 to 18	安徽省	Anhui	"Hefei, Anhui, China"	18 to 22	"Shanghai, China"	22 to 24	"Nanjing, China"	24 to 30	"Beijing, Beijing, China"	30 to 35	"Vancouver, BC, Canada"															Mandarin	0	7	7	7	7	English	8	6	6	6	6	French	20	1	1	1	1	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
2	F94A	2024/3/5	"E, M"	1	3	1	3	1994	F	F	0 to 19	北京市	Beijing	"Beijing, Beijing, China"	19 to 20	"London, UK"	20 to 29	"Beijing, Beijing, China"	29 to present	"Vancouver, BC, Canada"																	Mandarin	0	7	7	7	7	English	6	6	6	5	6	French	15	1	1	1	1	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
3	M97A	2024/3/5	"M, E"	1	4	1	4	1997	M	M	0 to 6	北京市	Beijing	"Beijing, Beijing, China"	6 to 7	"Vancouver,BC,  Canada"	7 to 18	"Beijing, Beijing, China"	18 to 22	"Providence, Rhode Island, US"	22 to 25	"Shanghai, Shanghai, China"	25 to present	"Vancouver, BC, Canada"													Mandarin	1	7	7	7	7	English	5	7	7	6	7	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
4	M01A	2024/3/7	"E, M"	1	5	1	5	2001	M	M	0 to 1	山西省	Shanxi	"Shanxi, China"	1 to 13	"Shenzhen, China"	13 to 16	"Frederiction, NenBrunskuic, Canada"	16 to 18	"Vancouver, BC, Canada"	18 to 19	"Waterloo, Ontario, Canada"	19 to 21	"Vancouver, BC, Canada"													Mandarin	0	5	4	6	6	Shanxi hua	0	na	na	6	6	English	13	7	7	7	7	Canto	21	2	2	2	2	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
5	M99A	2024/3/7	"M, E"	1	6	1	6	1999	M	M	0 to 22	广东省	Guangdong	"Guangzhou, Guangdong, China"	22 to 24	"London, UK"	24 to 25	"Vancouver, BC, Canada"																			Cantonese	1	7	7	7	7	Mandarin	1	7	7	7	7	English	6	7	6	6	6	Japanese	22	2	1	3	2	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
6	F95A	2024/3/8	"E, M"	1	7	1	7	1995	F	F	0 to 10	河南省	Henan	"Xinxiang, Henan, China"	10 to 21	"Beijing, Beijing, China"	22 to 23	"Rochester, NY, US"	23 to 25	"Washington, DC, US"	25 to 27	"Seattle, WA, US"	27 to 27.5	"Shanghai, Shanghai, China"	27.5 to 28.5	"Vancouver, BC, Canada"											Mandarin	0	7	7	7	7	English	6	7	5	5	6	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
7	M03A	2024/3/11	"M, E"	1	8	1	8	2003	M	M	0 to 2	台湾省	Taiwan	"Kaohsiong, Taiwan"	2 to 13	"School in Hong Kong/live in Shenzhen, China"	13 to 18	"Taichung/Kaohsiong, Taiwan"	18 to present	"Vancouver, BC, Canada"																	Mandarin	0	7	7	7	7	English	4	7	7	7	7	French	13	3	2	1	1	Polish	17	4	3	3	2	Dutch	19	5	4	3	3	Southern Min	0	4	1	3	4	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
8	F94B	2024/3/11	"E, M"	1	9	1	9	1994	F	F	0 to 7	安徽省	Anhui	"Huainan, Anhui, China"	7 to 8	"HeFei, Anhui, China"	8 to 13	"Shanghai, Shanghai, China"	13 to 18	"Hefei, China"	18 to 20	"Kunming, Yunnan, China"	20 to 23	"Tuslaloosa, Alabama, US"	23 to 26	"Tempe, Arizona, US"	26 to 29	"Shanghai, Shanghai, China"	29 to present	"Vancouver, BC, Canada"							Huainan hua	0	7	6	7	7	Shanghai hua	8	7	7	3	7	Mandarin	0	7	7	7	7	English	4	7	5	5	6	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
9	F96A	2024/3/11	"M, E"	1	10	1	10	1996	F	F	0 to 12	河南省	Henan	"Xinxiang, Henan, China"	12 to 18	"Zhengzhou, Henan, China"	18 to 27	"Vancouver, BC, Canada"																			Mandarin	0	7	7	7	7	Henan hua	0	7	7	6	6	English	12	7	5	5	6	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
10	F99A	2024/3/11	"E, M"	2	3	2	3	1999	F	F	0 to 2	山东省	Shandong	"Qingdao, Shandong, China"	3 to 5	"Shenyang, China"	5 to 11	"Beijing, Beijing, China"	11 to 18	"Qingdao, Shandong, China"	18 to present	"Vancouver, BC, Canada"															Korean	0	1	1	2	1	Mandarin	0	7	7	7	7	English	9	5	5	5	5	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
